Company,Extract,Key Word,Context Word,CSE,Category
Reliance/Jio,The Semi-final was hosted on a virtual 3D platform... exclusive JioGenNext workshop was conducted for the 20 Semi-Finalists... The 10 National Finalists received exclusive mentorship...,?,?,Yes,Startup Competition
Comcast,"Our service offerings for small business locations primarily include broadband services, as well as voice and video services, that are similar to those provided to our residential customers; cloud-based cybersecurity services; wireless backup connectivity; advanced Wi-Fi solutions; video monitoring services; and cloud-based services for file sharing, online backup and web conferencing, among other uses.",small business,x,No,x
NTPC,"TReDS Portal: Your Company has onboarded Trade Receivable electronic Discounting System (TReDS) portals. TReDS is an institutional mechanism set up in order to facilitate the discounting of trade receivables of MSMEs from corporate buyers through invoice discounting by multiple financiers avoiding any procedural time lag, on acceptance of invoice by corporate buyers. Being a responsible company, it is ensured that payments to MSEs are prompt, and hence only a few MSE vendors uploaded their bills in TReDS portal for processing. The Acceptance/ Rejection of invoices of Goods & Services of the same were ensured for 100% of the invoices within the stipulated timeline in the portal",MSMEs,x,Yes,Business Services
Comcast,"Comcast RISE is supporting the growth of all small businesses and entrepreneurs committed to uplifting their local communities. The program is built to help businesses and their communities thrive with a focus on economic growth. This year, Comcast RISE has awarded 500 recipients in five cities with a grant package that includes business consultation services, educational resources, monetary grant, creative production, media schedule, and a technology makeover.",small businesses,x,Yes,"Consulating services, loans, technical services, business services"
L&T,"The USP that LTFH is endeavouring to create is a direct-tochannel journey, digitally simplified processes and a strong value proposition to the customer – through term loan and drop-line Overdraft (OD) assistance",x,x,No,x
Tata Consultancy Services,"We not only retained our leadership talent better, but also expanded the leadership pool six-fold in the last five years by incubating a next generation of leaders running sub-ISUs, with P&L responsibilities. The breadth and depth of our leadership bench today makes our succession planning an industry benchmark, with multiple equally-qualified successors for any leadership position, starting from the CEO down, as you recently witnessed.",Incubating,x,No,x
Merck & Co,"On June 2, 2021, Merck completed the spin-off (the Spin-Off) of products from its women’s health, biosimilars and established brands businesses into a new, independent, publicly traded company named Organon & Co. (Organon) through a distribution of Organon’s publicly traded stock to Company shareholders. The established brands included in the transaction consisted of dermatology, non-opioid pain management, respiratory, select cardiovascular products, as well as the rest of Merck’s diversified brands franchise. Merck’s existing research pipeline programs continue to be owned and developed within Merck as planned.",Spin-off,x,Yes,Spin-offs
Saudi Armaco,"The SAR 5.6 billion ($1.5 billion) Sustainability Fund that we announced in 2022 is another example of our desire to invest in innovation. The Fund is being managed by Aramco Ventures, our venture capital arm, and will focus on making investments in innovative technologies that support our 2050 net-zero ambition. (31)",Venture Capital,x,Yes,Venture Capital Fund
Tata Consultancy Services,"Announced a major applied engineering and research partnership with The National Robotarium, the UK’s largest and most advanced AI and robotics research center. The partnership will work on innovation, to support early-stage AI and robotics product development, entrepreneurship, job creation and building digital skills in the workforce.",Entrepreneurship,Partnership,No,x
Reliance/Jio,Talent Review and Succession Planning... The Ultimate Pitch (TUP) 8.0 – Nurturing Entrepreneurial Thinking Among Youth... strategic elevator pitch contest to celebrate the spirit of entrepreneurial thinking...,Entrepreneurial,x,Yes,Startup Competition
Reliance/Jio,Reliance R&D aims to develop a new 5G stack... Reliance is actively fostering the start-up ecosystem and partnering with global and local producers and technology leaders...,Start-up,ecosystem,Yes,Partnership
